FACILITY_ID,STATUS,FACILITY_NAME,RECORD_ID,PROGRAM_NAME,PROGRAM_ELEMENT__PE_,PE_DESCRIPTION,FACILITY_ADDRESS,FACILITY_CITY,FACILITY__STATE,FACILITY_ZIP,FACILITY_LATITUDE,FACILITY_LONGITUDE,OWNER_ID,OWNER_NAME,OWNER_ADDRESS,OWNER_CITY,OWNER_STATE,OWNER_ZIP,Location,ObjectId
FA0008927,Open,BERT'S LIQUOR,PR0028991,BERT'S LIQUOR,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",4604 YORK BLVD,LOS ANGELES,CA,90041,34.1229493631,-118.2158051133,OW0011693,"FAZAA, ADEL ET AL",4604   YORK BLVD.,LOS ANGELES,CA,90041,"(34.1229493631, -118.2158051133)",14257
FA0016573,Open,COSTCO WHOLESALE # 1050,PR0019062,COSTCO # 1050 MEAT DEPART.,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",340 LAKEWOOD CENTER MALL,LAKEWOOD,CA,90712,33.8504614425,-118.1375734457,OW0008881,COSTCO WHOLESALE CORPORATION,P.O. BOX 35005,SEATTLE,WA,98124-3405,"(33.8504614425, -118.1375734457)",14258
FA0017758,Open,D & K MILK PALACE,PR0007817,D & K MILK PALACE,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",11045 GLENOAKS BLVD,PACOIMA,CA,91331,34.2702695136,-118.4083863444,OW0019146,KIM TAE YOUNG,11045   GLENOAKS BLVD,PACOIMA,CA,91331,"(34.2702695136, -118.4083863444)",14259
FA0224501,Open,EL PILON MEAT MARKET #2,PR0179725,EL PILON MEAT MARKET #2,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",14503 PACIFIC AVE,BALDWIN PARK,CA,91706,34.0842486822,-117.9590595579,OW0228969,JUAN LUIS HEREDIA,14503 PACIFIC AVE,BALDWIN PARK,CA,91706,"(34.0842486822, -117.9590595579)",14261
FA0020270,Open,"EDWIN B PURDY, PRES",PR0002749,"EDWIN B PURDY, PRES",1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",5919 W 98TH ST,LOS ANGELES,CA,90045,33.9474738934,-118.3875240306,OW0025224,MR PURDY S INC,5919  W 98 ST,LOS ANGELES,CA,90045,"(33.9474738934, -118.3875240306)",14262
FA0180707,Open,GRANDE VISTA LIQUOR & MARKET,PR0174512,GRANDE VISTA LIQUOR & MARKET,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3124 E 4TH ST,LOS ANGELES,CA,90063,34.0356287082,-118.2006910626,OW0186055,CHANG HYUN YANG,3124 E 4TH ST,LOS ANGELES,CA,90063,"(34.0356287082, -118.2006910626)",14263
FA0023436,Open,FOOD 4 LESS #775,PR0018354,FOOD-4-LESS MEAT MKT #775,1612,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",12222 E CARSON ST,HAWAIIAN GARDENS,CA,90716,33.8309480135,-118.0705072947,OW0012108,"FOOD 4 LESS, INC.",PO BOX 54143,LOS ANGELES,CA,90054,"(33.8309480135, -118.0705072947)",14265
FA0057892,Open,B AND Z DISCOUNT STORE,PR0028176,B AND Z DISCOUNT STORE,1610,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",240 E FLORENCE AVE,LOS ANGELES,CA,90003,33.97437336,-118.2704322858,OW0039423,YAC RODAS PEDRO,240 E FLORENCE AVE,LOS ANGELES,CA,90003,"(33.97437336, -118.2704322858)",14269
FA0061577,Open,EL RANCHERO MEAT MARKET,PR0006962,EL RANCHERO MEAT MARKET,1615,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",13864 CHASE ST,PANORAMA CITY,CA,91402,34.2272173459,-118.4353861964,OW0002069,ALEMAN BROS INC.,13864   CHASE ST,PANORAMA CITY,CA,91402,"(34.2272173459, -118.4353861964)",14272
FA0255963,Open,CVS/PHARMACY #10445,PR0205701,CVS #10445,1613,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",125 N CENTRAL AVE,GLENDALE,CA,91203,34.1476659745,-118.2579472223,OW0012926,"GARFIELD BEACH CVS, LLC.",1 CVS DR MC# 1160,WOONSOCKET,RI,02895,"(34.1476659745, -118.2579472223)",14273
