Vendor,Address,Second Address,City,Zip_Code_Old,County,Longitude,Latitude
El Super #43,15202 Hawthorne Blvd,None,Lawndale,90260,Los Angeles,-118.3518,33.89338
El Super #44,10721 Atlantic Ave,None,Lynwood,90262,Los Angeles,-118.1835,33.93351
El Super #24,1285 N Hacienda Blvd,None,La Puente,91744,Los Angeles,-117.9511,34.0445
El Super #54,9320 Slauson Ave,None,Pico Rivera,90660,Los Angeles,-118.0979,33.96835
Vallarta Supermarket #5,8453 Reseda Blvd,None,Northridge,91324,Los Angeles,-118.5365,34.22434
Vallarta Supermarket #24,19725 Vanowen St,None,Winnetka,91306,Los Angeles,-118.563238,34.19382
Vallarta Supermarkets #2,13715 Vanowen St,None,Van Nuys,91405,Los Angeles,-118.432,34.19434
Numero Uno Market #109,1141 W Carson St,None,Torrance,90502,Los Angeles,-118.2962,33.83213
Numero Uno Market #111,10455 Laurel Canyon Blvd,None,Pacoima,91331,Los Angeles,-118.4341,34.25941
Numero Uno Market #112,9990 Long Beach Blvd,None,Lynwood,90262,Los Angeles,-118.2149,33.94479
